text_number,language,url,timestamp,source,question_score
206,en,https://apple.stackexchange.com/questions/828,2023/3/29,stackexchange,3
207,en,https://apple.stackexchange.com/questions/829,2023/3/29,stackexchange,56
208,en,https://apple.stackexchange.com/questions/831,2023/3/29,stackexchange,6
209,en,https://apple.stackexchange.com/questions/837,2023/3/29,stackexchange,14
210,en,https://apple.stackexchange.com/questions/846,2023/3/29,stackexchange,1
211,en,https://apple.stackexchange.com/questions/850,2023/3/29,stackexchange,21
212,en,https://apple.stackexchange.com/questions/856,2023/3/29,stackexchange,0
213,en,https://apple.stackexchange.com/questions/860,2023/3/29,stackexchange,30
214,en,https://apple.stackexchange.com/questions/863,2023/3/29,stackexchange,11
215,en,https://apple.stackexchange.com/questions/867,2023/3/29,stackexchange,38
216,en,https://apple.stackexchange.com/questions/870,2023/3/29,stackexchange,2
217,en,https://apple.stackexchange.com/questions/874,2023/3/29,stackexchange,4
218,en,https://apple.stackexchange.com/questions/884,2023/3/29,stackexchange,1
219,en,https://apple.stackexchange.com/questions/885,2023/3/29,stackexchange,4
220,en,https://apple.stackexchange.com/questions/887,2023/3/29,stackexchange,1
221,en,https://apple.stackexchange.com/questions/888,2023/3/29,stackexchange,2
222,en,https://apple.stackexchange.com/questions/893,2023/3/29,stackexchange,34
223,en,https://apple.stackexchange.com/questions/901,2023/3/29,stackexchange,24
224,en,https://apple.stackexchange.com/questions/903,2023/3/29,stackexchange,8
225,en,https://apple.stackexchange.com/questions/904,2023/3/29,stackexchange,4
226,en,https://apple.stackexchange.com/questions/906,2023/3/29,stackexchange,0
227,en,https://apple.stackexchange.com/questions/910,2023/3/29,stackexchange,21
228,en,https://apple.stackexchange.com/questions/913,2023/3/29,stackexchange,4
229,en,https://apple.stackexchange.com/questions/921,2023/3/29,stackexchange,19
230,en,https://apple.stackexchange.com/questions/924,2023/3/29,stackexchange,4
231,en,https://apple.stackexchange.com/questions/934,2023/3/29,stackexchange,1
232,en,https://apple.stackexchange.com/questions/940,2023/3/29,stackexchange,1
233,en,https://apple.stackexchange.com/questions/942,2023/3/29,stackexchange,0
234,en,https://apple.stackexchange.com/questions/945,2023/3/29,stackexchange,11
235,en,https://apple.stackexchange.com/questions/949,2023/3/29,stackexchange,6
236,en,https://apple.stackexchange.com/questions/957,2023/3/29,stackexchange,5
237,en,https://apple.stackexchange.com/questions/960,2023/3/29,stackexchange,4
238,en,https://apple.stackexchange.com/questions/961,2023/3/29,stackexchange,55
239,en,https://apple.stackexchange.com/questions/967,2023/3/29,stackexchange,2
240,en,https://apple.stackexchange.com/questions/971,2023/3/29,stackexchange,24
241,en,https://apple.stackexchange.com/questions/975,2023/3/29,stackexchange,2
242,en,https://apple.stackexchange.com/questions/978,2023/3/29,stackexchange,1
243,en,https://apple.stackexchange.com/questions/982,2023/3/29,stackexchange,-2
244,en,https://apple.stackexchange.com/questions/987,2023/3/29,stackexchange,2
245,en,https://apple.stackexchange.com/questions/990,2023/3/29,stackexchange,9
246,en,https://apple.stackexchange.com/questions/998,2023/3/29,stackexchange,10
247,en,https://apple.stackexchange.com/questions/1001,2023/3/29,stackexchange,11
248,en,https://apple.stackexchange.com/questions/1005,2023/3/29,stackexchange,4
249,en,https://apple.stackexchange.com/questions/1006,2023/3/29,stackexchange,2
250,en,https://apple.stackexchange.com/questions/1010,2023/3/29,stackexchange,1
251,en,https://apple.stackexchange.com/questions/1011,2023/3/29,stackexchange,3
252,en,https://apple.stackexchange.com/questions/1016,2023/3/29,stackexchange,2
253,en,https://apple.stackexchange.com/questions/1018,2023/3/29,stackexchange,10
254,en,https://apple.stackexchange.com/questions/1019,2023/3/29,stackexchange,4
255,en,https://apple.stackexchange.com/questions/1023,2023/3/29,stackexchange,3
